grade,subject,strand,subStrand,learningOutcome,specificLearningOutcome,keyInquiryQuestion,suggestedLearningExperience,lessonTitle,lessonOrder,term,week,activityTitle,activityInstructions,assessmentMethod,assessmentCriteria,questTitle,questInstructions,reflectionPrompt,learningResources,coreCompetencies
"Grade 2","English Language Activities","1.0 Listening","1.5 Conversation","Listen to informational texts and pick out the key details; ask and answer relevant questions in a listening text","Listen to informational texts and pick out the key details; ask and answer relevant questions in a listening text","Why is it important to listen to others during a conversation?","Learners practice use of socially acceptable language during conversation, ask questions using cue words (who, what, where, when, why).","Listening in Conversations","11","Term 1","","Listening in Conversations","Learners practice use of socially acceptable language during conversation, ask questions using cue words (who, what, where, when, why).","Ongoing conversation-based assessment","Learner demonstrates understanding of listen to informational texts and pick out the key details; ask and answer relevant questions in a listening text","English Language Activities Grade 2","In this quest, we explore 1.5 conversation.","What did I learn about listen to informational texts and pick out the key details; ask and answer relevant questions in a listening text today?","Audio and visual recorders, listening passages","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","1.0 Listening","1.5 Conversation","Build on the ideas and points of others in conversation; demonstrate respect for others when participating in a conversation","Build on the ideas and points of others in conversation; demonstrate respect for others when participating in a conversation","How can we show respect when others are speaking?","Learners engage in role play and dramatization. Learners watch short videos featuring leaders in the community and have follow-up conversations.","Building on Others' Ideas","12","Term 1","","Building on Others' Ideas","Learners engage in role play and dramatization. Learners watch short videos featuring leaders in the community and have follow-up conversations.","Ongoing conversation-based assessment","Learner demonstrates understanding of build on the ideas and points of others in conversation; demonstrate respect for others when participating in a conversation","English Language Activities Grade 2","In this quest, we explore 1.5 conversation.","What did I learn about build on the ideas and points of others in conversation; demonstrate respect for others when participating in a conversation today?","Audio and visual recorders, listening passages","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.2 Responding to Questions and Instructions","Respond confidently to questions and instructions on varied themes","Respond confidently to questions and instructions on varied themes","How do you respond when asked to do something?","Learners role play giving and responding to instructions, paying attention to pronunciation and accuracy with words.","Giving and Following Instructions","13","Term 1","","Giving and Following Instructions","Learners role play giving and responding to instructions, paying attention to pronunciation and accuracy with words.","question and answer, ability to take instructions","Learner demonstrates understanding of respond confidently to questions and instructions on varied themes","English Language Activities Grade 2","In this quest, we explore 2.2 responding to questions and instructions.","What did I learn about respond confidently to questions and instructions on varied themes today?","Audiotapes/videos, word chart, resource person","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.2 Responding to Questions and Instructions","Ask questions to seek clarity on instructions; use verbal and non-verbal cues appropriately","Ask questions to seek clarity on instructions; use verbal and non-verbal cues appropriately","Why do we give instructions?","Learners play language games involving responding to instructions and answering questions through songs and games following a particular pattern.","Asking for Clarity","14","Term 1","","Asking for Clarity","Learners play language games involving responding to instructions and answering questions through songs and games following a particular pattern.","question and answer, ability to take instructions","Learner demonstrates understanding of ask questions to seek clarity on instructions; use verbal and non-verbal cues appropriately","English Language Activities Grade 2","In this quest, we explore 2.2 responding to questions and instructions.","What did I learn about ask questions to seek clarity on instructions; use verbal and non-verbal cues appropriately today?","Audiotapes/videos, word chart, resource person","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.3 Phonological Awareness","Recognize and say multiple letter-sounds to make syllables and words","Recognize and say multiple letter-sounds to make syllables and words","What are some of the sounds we hear?","Learners sound sight words representing multi sounds individually, in pairs and groups. Learners blend syllables to form words and sentences.","Letter Sounds and Syllables","15","Term 1","","Letter Sounds and Syllables","Learners sound sight words representing multi sounds individually, in pairs and groups. Learners blend syllables to form words and sentences.","Form words and sentences","Learner demonstrates understanding of recognize and say multiple letter-sounds to make syllables and words","English Language Activities Grade 2","In this quest, we explore 2.3 phonological awareness.","What did I learn about recognize and say multiple letter-sounds to make syllables and words today?","Audio and audiovisual aids, storybooks, charts, pictures","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.3 Phonological Awareness","Blend and segment syllables correctly to form words","Blend and segment syllables correctly to form words","Which words contain these sounds?","Learners play auditory discrimination games to enable them to listen to different sounds. Learners give words that rhyme.","Blending Sounds into Words","16","Term 1","","Blending Sounds into Words","Learners play auditory discrimination games to enable them to listen to different sounds. Learners give words that rhyme.","Form words and sentences","Learner demonstrates understanding of blend and segment syllables correctly to form words","English Language Activities Grade 2","In this quest, we explore 2.3 phonological awareness.","What did I learn about blend and segment syllables correctly to form words today?","Audio and audiovisual aids, storybooks, charts, pictures","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.3 Phonological Awareness","Use appropriate words to make short, meaningful sentences; appreciate the role of blending and segmenting in forming sentences","Use appropriate words to make short, meaningful sentences; appreciate the role of blending and segmenting in forming sentences","How do sounds become words and sentences?","Learners are guided to make a list of all the sounds they can hear from the environment. Learners form sentences from words created through blending.","Making Sentences with Sounds","17","Term 1","","Making Sentences with Sounds","Learners are guided to make a list of all the sounds they can hear from the environment. Learners form sentences from words created through blending.","Form words and sentences","Learner demonstrates understanding of use appropriate words to make short, meaningful sentences; appreciate the role of blending and segmenting in forming sentences","English Language Activities Grade 2","In this quest, we explore 2.3 phonological awareness.","What did I learn about use appropriate words to make short, meaningful sentences; appreciate the role of blending and segmenting in forming sentences today?","Audio and audiovisual aids, storybooks, charts, pictures","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.3 Phonological Awareness","Appreciate the role of blending and segmenting in forming words and sentences","Appreciate the role of blending and segmenting in forming words and sentences","How do syllables make words?","Learners combine syllables to form words through blending activities. Learners identify the number of syllables in words and appreciate how syllables build words.","Syllables and Words","18","Term 1","","Syllables and Words","Learners combine syllables to form words through blending activities. Learners identify the number of syllables in words and appreciate how syllables build words.","Form words and sentences","Learner demonstrates understanding of appreciate the role of blending and segmenting in forming words and sentences","English Language Activities Grade 2","In this quest, we explore 2.3 phonological awareness.","What did I learn about appreciate the role of blending and segmenting in forming words and sentences today?","Audio and audiovisual aids, storybooks, charts, pictures","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.4 Talk About","Confidently talk about characters and events in a story or text; relate characters to real life","Confidently talk about characters and events in a story or text; relate characters to real life","How can we talk to others in a proper way?","Learners discuss characters and events in a thematic story, predicting events and seeking clarification by asking questions.","Talking About Stories","19","Term 1","","Talking About Stories","Learners discuss characters and events in a thematic story, predicting events and seeking clarification by asking questions.","Panel discussion on community issues","Learner demonstrates understanding of confidently talk about characters and events in a story or text; relate characters to real life","English Language Activities Grade 2","In this quest, we explore 2.4 talk about.","What did I learn about confidently talk about characters and events in a story or text; relate characters to real life today?","Audio and audiovisual aids, resource persons","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.4 Talk About","Demonstrate interest to address familiar people using appropriate verbal and non-verbal expressions","Demonstrate interest to address familiar people using appropriate verbal and non-verbal expressions","How do we greet different people?","Learners role play greeting people of different status showing appropriate emotions. Learners recreate stories using different media.","Greeting People","20","Term 1","","Greeting People","Learners role play greeting people of different status showing appropriate emotions. Learners recreate stories using different media.","Panel discussion on community issues","Learner demonstrates understanding of demonstrate interest to address familiar people using appropriate verbal and non-verbal expressions","English Language Activities Grade 2","In this quest, we explore 2.4 talk about.","What did I learn about demonstrate interest to address familiar people using appropriate verbal and non-verbal expressions today?","Audio and audiovisual aids, resource persons","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.5 Presentation Skills","Express self appropriately using acquired vocabulary to communicate effectively","Express self appropriately using acquired vocabulary to communicate effectively","What does a good presenter do?","Learners express personal feelings orally using the learnt vocabulary. Learners present poems and sing songs on various themes.","Expressing Yourself Clearly","21","Term 1","","Expressing Yourself Clearly","Learners express personal feelings orally using the learnt vocabulary. Learners present poems and sing songs on various themes.","matching pictures with events, question/answer","Learner demonstrates understanding of express self appropriately using acquired vocabulary to communicate effectively","English Language Activities Grade 2","In this quest, we explore 2.5 presentation skills.","What did I learn about express self appropriately using acquired vocabulary to communicate effectively today?","Audio visual aids, role models, pictures of various events","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","2.0 Speaking","2.5 Presentation Skills","Relate various community activities in order; use appropriate tonal variation, articulation and stress","Relate various community activities in order; use appropriate tonal variation, articulation and stress","Why is it important to speak in the right order?","Learners practise making connections using transition words (months, special days, birthdays, cultural events). Learners present short speeches on familiar topics.","Presenting in Order","22","Term 1","","Presenting in Order","Learners practise making connections using transition words (months, special days, birthdays, cultural events). Learners present short speeches on familiar topics.","matching pictures with events, question/answer","Learner demonstrates understanding of relate various community activities in order; use appropriate tonal variation, articulation and stress","English Language Activities Grade 2","In this quest, we explore 2.5 presentation skills.","What did I learn about relate various community activities in order; use appropriate tonal variation, articulation and stress today?","Audio visual aids, role models, pictures of various events","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.1 Paired Reading","Assess self on reading speed and fluency; provide feedback on peer's reading","Assess self on reading speed and fluency; provide feedback on peer's reading","What is a good speed for reading?","Learners read aloud to each other in pairs. Learners practice error correction procedure when supporting each other's reading, making predictions and asking questions.","Reading with a Partner","23","Term 1","","Reading with a Partner","Learners read aloud to each other in pairs. Learners practice error correction procedure when supporting each other's reading, making predictions and asking questions.","learners retell what they have read, question/answer","Learner demonstrates understanding of assess self on reading speed and fluency; provide feedback on peer's reading","English Language Activities Grade 2","In this quest, we explore 3.1 paired reading.","What did I learn about assess self on reading speed and fluency; provide feedback on peer's reading today?","charts, newspapers, readers, magazines","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.1 Paired Reading","Ask questions to confirm and extend understanding of material read; make predictions before and during reading","Ask questions to confirm and extend understanding of material read; make predictions before and during reading","What questions can we ask about a story?","Learners ask each other questions about what they have read. Learners practise turn-taking and listening to peers as they read.","Asking Questions About What We Read","24","Term 1","","Asking Questions About What We Read","Learners ask each other questions about what they have read. Learners practise turn-taking and listening to peers as they read.","learners retell what they have read, question/answer","Learner demonstrates understanding of ask questions to confirm and extend understanding of material read; make predictions before and during reading","English Language Activities Grade 2","In this quest, we explore 3.1 paired reading.","What did I learn about ask questions to confirm and extend understanding of material read; make predictions before and during reading today?","charts, newspapers, readers, magazines","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.1 Paired Reading","Read aloud with increased fluency and expression; self-correct reading errors","Read aloud with increased fluency and expression; self-correct reading errors","How can we become better readers?","Learners read aloud to each other in pairs, focusing on fluency and expression. Learners practice reading the same passage multiple times to improve speed and accuracy.","Reading Fluency Practice","25","Term 1","","Reading Fluency Practice","Learners read aloud to each other in pairs, focusing on fluency and expression. Learners practice reading the same passage multiple times to improve speed and accuracy.","learners retell what they have read, question/answer","Learner demonstrates understanding of read aloud with increased fluency and expression; self-correct reading errors","English Language Activities Grade 2","In this quest, we explore 3.1 paired reading.","What did I learn about read aloud with increased fluency and expression; self-correct reading errors today?","charts, newspapers, readers, magazines","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.1 Paired Reading","Provide constructive feedback on peer reading; appreciate the importance of turn-taking","Provide constructive feedback on peer reading; appreciate the importance of turn-taking","How can we help each other become better readers?","Learners practice giving kind and helpful feedback to peers on their reading. Learners take turns reading and listening, supporting each other.","Peer Feedback in Reading","26","Term 1","","Peer Feedback in Reading","Learners practice giving kind and helpful feedback to peers on their reading. Learners take turns reading and listening, supporting each other.","learners retell what they have read, question/answer","Learner demonstrates understanding of provide constructive feedback on peer reading; appreciate the importance of turn-taking","English Language Activities Grade 2","In this quest, we explore 3.1 paired reading.","What did I learn about provide constructive feedback on peer reading; appreciate the importance of turn-taking today?","charts, newspapers, readers, magazines","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.2 Group Reading","Read texts collectively with accuracy, fluency, and comprehension","Read texts collectively with accuracy, fluency, and comprehension","What is the importance of reading in groups?","Learners find answers to questions from texts read using think-pair-share. Learners are divided into reading teams to facilitate peer learning and support.","Reading Together in Groups","27","Term 1","","Reading Together in Groups","Learners find answers to questions from texts read using think-pair-share. Learners are divided into reading teams to facilitate peer learning and support.","Peer Assessment, question/answer, retelling a story read","Learner demonstrates understanding of read texts collectively with accuracy, fluency, and comprehension","English Language Activities Grade 2","In this quest, we explore 3.2 group reading.","What did I learn about read texts collectively with accuracy, fluency, and comprehension today?","Readers, newspapers, journals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.2 Group Reading","Develop peer learning skills of self-assessment and improve confidence through peer support","Develop peer learning skills of self-assessment and improve confidence through peer support","How does reading with others help us learn?","Learners retell story, events read in pairs and small groups. Learners support each other through guiding questions (who, what, where).","Retelling Stories from Group Reading","28","Term 1","","Retelling Stories from Group Reading","Learners retell story, events read in pairs and small groups. Learners support each other through guiding questions (who, what, where).","Peer Assessment, question/answer, retelling a story read","Learner demonstrates understanding of develop peer learning skills of self-assessment and improve confidence through peer support","English Language Activities Grade 2","In this quest, we explore 3.2 group reading.","What did I learn about develop peer learning skills of self-assessment and improve confidence through peer support today?","Readers, newspapers, journals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.2 Group Reading","Develop an interest in reading collectively in and out of class","Develop an interest in reading collectively in and out of class","Why is it good to read with others?","Learners are divided into reading teams to facilitate peer learning and support. Learners participate in reading contests and library reading during free time.","Reading Teams and Peer Support","29","Term 1","","Reading Teams and Peer Support","Learners are divided into reading teams to facilitate peer learning and support. Learners participate in reading contests.","Peer Assessment, question/answer, retelling a story read","Learner demonstrates understanding of develop an interest in reading collectively in and out of class","English Language Activities Grade 2","In this quest, we explore 3.2 group reading.","What did I learn about develop an interest in reading collectively in and out of class today?","Readers, newspapers, journals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.3 Silent Reading","Read texts and passages silently; read silently showing sustained focus for longer periods","Read texts and passages silently; read silently showing sustained focus for longer periods","When do we read silently?","Learners are assisted in developing silent reading skills for efficient reading through guiding questions and timing reading. Learners could be shown a picture spark that tells the same story.","Reading Silently","30","Term 1","","Reading Silently","Learners are assisted in developing silent reading skills for efficient reading through guiding questions and timing reading.","Question/answer, filling gaps","Learner demonstrates understanding of read texts and passages silently; read silently showing sustained focus for longer periods","English Language Activities Grade 2","In this quest, we explore 3.3 silent reading.","What did I learn about read texts and passages silently; read silently showing sustained focus for longer periods today?","Readers, magazines, newspapers, journals, story books, class readers","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.3 Silent Reading","Predict the meaning of unfamiliar words; answer comprehension questions from texts read silently","Predict the meaning of unfamiliar words; answer comprehension questions from texts read silently","How do we understand new words when reading?","Learners discuss questions after silent reading in pairs and groups. Learners answer comprehension questions from texts read. Learners practise retelling what has been read.","Understanding What We Read Silently","31","Term 1","","Understanding What We Read Silently","Learners discuss questions after silent reading in pairs and groups. Learners answer comprehension questions from texts read.","Question/answer, filling gaps","Learner demonstrates understanding of predict the meaning of unfamiliar words; answer comprehension questions from texts read silently","English Language Activities Grade 2","In this quest, we explore 3.3 silent reading.","What did I learn about predict the meaning of unfamiliar words; answer comprehension questions from texts read silently today?","Readers, magazines, newspapers, journals, story books, class readers","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.3 Silent Reading","Read silently for enjoyment; develop an interest in reading texts for pleasure","Read silently for enjoyment; develop an interest in reading texts for pleasure","Why should we read for enjoyment?","Learners engage in sustained silent reading for 15-20 minutes. Learners are provided with follow-up activities such as retelling what has been read.","Sustained Silent Reading","32","Term 1","","Sustained Silent Reading","Learners engage in sustained silent reading for 15-20 minutes. Learners are provided with follow-up activities for sustained silent reading.","Question/answer, filling gaps","Learner demonstrates understanding of read silently for enjoyment; develop an interest in reading texts for pleasure","English Language Activities Grade 2","In this quest, we explore 3.3 silent reading.","What did I learn about read silently for enjoyment; develop an interest in reading texts for pleasure today?","Readers, magazines, newspapers, journals, story books, class readers","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.4 Answering Comprehension Questions","Locate specific details in response to questions from texts read; determine the meaning of unknown words in context","Locate specific details in response to questions from texts read; determine the meaning of unknown words in context","Why is it important to understand the meaning of what you read?","Learners respond to comprehension questions from texts on varied themes. Learners use context clues to determine word meanings.","Finding Details in Texts","33","Term 1","","Finding Details in Texts","Learners respond to comprehension questions from texts on varied themes. Learners use context clues to determine word meanings.","Question/answer, filling in blanks","Learner demonstrates understanding of locate specific details in response to questions from texts read; determine the meaning of unknown words in context","English Language Activities Grade 2","In this quest, we explore 3.4 answering comprehension questions.","What did I learn about locate specific details in response to questions from texts read; determine the meaning of unknown words in context today?","Readers, newspapers, magazines, journals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.4 Answering Comprehension Questions","Summarise texts read by identifying main ideas","Summarise texts read by identifying main ideas","What is the main idea of a story?","Learners relate personal experiences to a story read. Learners are guided to summarise texts by retelling or identifying the main ideas.","Summarising What We Read","34","Term 1","","Summarising What We Read","Learners relate personal experiences to a story read. Learners are guided to summarise texts by retelling or identifying the main ideas.","Question/answer, filling in blanks","Learner demonstrates understanding of summarise texts read by identifying main ideas","English Language Activities Grade 2","In this quest, we explore 3.4 answering comprehension questions.","What did I learn about summarise texts read by identifying main ideas today?","Readers, newspapers, magazines, journals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","3.0 Reading","3.4 Answering Comprehension Questions","Use context clues to determine the meaning of unknown words; develop vocabulary through reading","Use context clues to determine the meaning of unknown words; develop vocabulary through reading","How can we figure out what a new word means?","Learners use context clues to determine word meanings while reading. Learners practice identifying the meaning of unknown words by looking at the words and sentences around them.","Word Meanings in Context","35","Term 1","","Word Meanings in Context","Learners use context clues to determine word meanings while reading. Learners practice identifying the meaning of unknown words by looking at the words and sentences around them.","Question/answer, filling in blanks","Learner demonstrates understanding of use context clues to determine the meaning of unknown words; develop vocabulary through reading","English Language Activities Grade 2","In this quest, we explore 3.4 answering comprehension questions.","What did I learn about use context clues to determine the meaning of unknown words; develop vocabulary through reading today?","Readers, newspapers, magazines, journals","Communication and Collaboration, Critical Thinking and Problem Solving"
"Grade 2","English Language Activities","4.0 Writing","4.1 Word and Sentence Formation","Use familiar words and phrases to write simple sentences; use the correct noun and verb form","Use familiar words and phrases to write simple sentences; use the correct noun and verb form","How do we form a sentence?","Learners are guided to build simple sentence structures through identification of keywords. Learners identify nouns and verbs in a sentence (subject/verb agreement).","Building Sentences from Words","36","Term 1","","Building Sentences from Words","Learners are guided to build simple sentence structures through identification of keywords. Learners identify nouns and verbs in a sentence.","Write a short paragraph on a given thematic topic","Learner demonstrates understanding of use familiar words and phrases to write simple sentences; use the correct noun and verb form","English Language Activities Grade 2","In this quest, we explore 4.1 word and sentence formation.","What did I learn about use familiar words and phrases to write simple sentences; use the correct noun and verb form today?","Tape recorder, flash cards, sentence strips, books, pencils","Communication and Collaboration, Critical Thinking and Problem Solving"
